combo_id,rr_ratio,sl_atr_multiplier,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
eabb74e31528,1.25,1.5,0.0,0.0,False,360,0.5083,0.1416,0.5,10.7567,50K,fixed_dollar,0.4,0.6,0.431,12.65
7cc5fd0e481c,1.25,1.5,0.0,0.0,True,160,0.5,0.1187,0.5,7.1486,50K,fixed_dollar,0.2,0.6,0.52,12.84
4a59ade680bc,1.25,1.5,0.0,1.0,False,341,0.5132,0.1511,0.5,11.3301,50K,pct_balance,0.4,0.6,0.445,12.45
856b4c2dbbc0,1.25,1.5,0.0,1.0,True,151,0.4967,0.1054,0.5,6.3839,50K,fixed_dollar,0.2,0.6,0.505,12.69
60adc4163ed9,1.25,1.5,0.5,0.0,False,360,0.5083,0.1416,0.5,10.7567,50K,fixed_dollar,0.4,0.6,0.431,12.9
7e63344d635e,1.25,1.5,0.5,0.0,True,160,0.5,0.1187,0.5,7.1486,50K,fixed_dollar,0.2,0.6,0.52,12.59
995f343c3331,1.25,1.5,0.5,1.0,False,341,0.5132,0.1511,0.5,11.3301,50K,pct_balance,0.4,0.6,0.445,12.78
8b202e380e35,1.25,1.5,0.5,1.0,True,151,0.4967,0.1054,0.5,6.3839,50K,fixed_dollar,0.2,0.6,0.505,12.6
192e624ae168,1.25,1.5,1.0,0.0,False,360,0.5083,0.1416,0.5,10.7567,50K,fixed_dollar,0.4,0.6,0.431,12.63
5bfc7af004f2,1.25,1.5,1.0,0.0,True,160,0.5,0.1187,0.5,7.1486,50K,fixed_dollar,0.2,0.6,0.52,12.61
06650a466cb3,1.25,1.5,1.0,1.0,False,341,0.5132,0.1511,0.5,11.3301,50K,pct_balance,0.4,0.6,0.445,12.4
402d075e6a45,1.25,1.5,1.0,1.0,True,151,0.4967,0.1054,0.5,6.3839,50K,fixed_dollar,0.2,0.6,0.505,12.79
2000861e7026,1.5,0.75,0.0,0.0,False,370,0.4703,0.1686,0.5,11.1507,150K,fixed_dollar,0.2,0.6,0.483,12.98
19233c78c50c,1.5,0.75,0.0,0.0,True,165,0.4121,0.0167,0.5,-0.2552,50K,fixed_dollar,0.2,0.6,0.319,12.34
2cc47a03e562,1.5,0.75,0.0,1.0,False,348,0.4684,0.1648,0.5,11.2282,50K,fixed_dollar,0.4,0.6,0.454,12.37
4c04df68294c,1.5,0.75,0.0,1.0,True,155,0.4065,0.0025,0.5,-0.7224,50K,pct_balance,0.2,0.6,0.309,12.53
d7c82f381ff1,1.5,0.75,0.5,0.0,False,370,0.4703,0.1686,0.5,11.1507,150K,fixed_dollar,0.2,0.6,0.483,12.59
e94635bf42f8,1.5,0.75,0.5,0.0,True,165,0.4121,0.0167,0.5,-0.2552,50K,fixed_dollar,0.2,0.6,0.319,12.53
fadea33405b5,1.5,0.75,0.5,1.0,False,348,0.4684,0.1648,0.5,11.2282,50K,fixed_dollar,0.4,0.6,0.454,12.72
5f6cec317eb2,1.5,0.75,0.5,1.0,True,155,0.4065,0.0025,0.5,-0.7224,50K,pct_balance,0.2,0.6,0.309,13.18
27e5640cf8e7,1.5,0.75,1.0,0.0,False,370,0.4703,0.1686,0.5,11.1507,150K,fixed_dollar,0.2,0.6,0.483,12.93
e2e1f28e694b,1.5,0.75,1.0,0.0,True,165,0.4121,0.0167,0.5,-0.2552,50K,fixed_dollar,0.2,0.6,0.319,12.47
fdc4fd3de791,1.5,0.75,1.0,1.0,False,348,0.4684,0.1648,0.5,11.2282,50K,fixed_dollar,0.4,0.6,0.454,12.66
82a380d0cda4,1.5,0.75,1.0,1.0,True,155,0.4065,0.0025,0.5,-0.7224,50K,pct_balance,0.2,0.6,0.309,12.61
d395b18f9952,1.5,1.0,0.0,0.0,False,368,0.4647,0.1547,0.5,10.3515,50K,fixed_dollar,0.2,0.6,0.565,12.84
426b6216136c,1.5,1.0,0.0,0.0,True,164,0.4329,0.0706,0.5,2.7115,50K,fixed_dollar,0.4,0.6,0.348,12.58
07eb2bfbd832,1.5,1.0,0.0,1.0,False,347,0.464,0.151,0.5,9.2278,50K,fixed_dollar,0.4,0.6,0.423,12.93
